Date,Open,High,Low,Close,Volume
2024-09-05 04:00:00,156.3,159.45,155.9805,157.24,18688747.0
2024-09-06 04:00:00,157.3,157.83,150.55,150.92,37912130.0
2024-09-09 04:00:00,152.51,153.4,147.215,148.71,39260451.0
2024-09-10 04:00:00,150.45,151.27,148.34,148.66,31118765.0
2024-09-11 04:00:00,149.92,151.5,147.52,151.16,29607693.0
2024-09-12 04:00:00,153.8,154.82,152.65,154.69,29695048.0
2024-09-13 04:00:00,155.43,158.38,155.21,157.46,29591152.0
2024-09-16 04:00:00,157.31,158.25,156.6,158.06,18379775.0
2024-09-17 04:00:00,159.02,160.55,158.375,159.32,20715612.0
2024-09-18 04:00:00,159.86,160.5,158.595,159.81,23677315.0
2024-09-19 04:00:00,163.71,163.79,161.34,162.14,26587733.0
2024-09-20 04:00:00,163.5,163.73,162.06,163.59,40896438.0
2024-09-23 04:00:00,164.35,165.49,161.67,161.85,24150852.0
2024-09-24 04:00:00,163.03,163.2158,160.69,162.29,23332147.0
2024-09-25 04:00:00,161.47,162.81,161.3,161.49,18869199.0
2024-09-26 04:00:00,163.64,164.08,162.28,162.73,20319336.0
2024-09-27 04:00:00,162.81,165.7,162.6261,163.95,21101307.0
2024-09-30 04:00:00,163.32,166.15,163.26,165.85,20481303.0
2024-10-01 04:00:00,167.685,169.16,164.58,166.99,28338123.0
2024-10-02 04:00:00,166.42,167.52,164.73,165.86,17760179.0
2024-10-03 04:00:00,164.41,166.64,163.923,165.86,15073101.0
2024-10-04 04:00:00,168.06,168.23,165.48,167.06,19093724.0
2024-10-07 04:00:00,167.72,168.48,162.75,162.98,22463140.0
2024-10-08 04:00:00,163.94,164.725,162.87,164.38,23072733.0
2024-10-09 04:00:00,163.45,164.84,159.74,161.86,31181774.0
2024-10-10 04:00:00,160.87,163.07,160.395,162.08,14144068.0
2024-10-11 04:00:00,162.13,163.9,161.235,163.24,15344251.0
2024-10-14 04:00:00,163.64,166.226,163.4,164.96,19016141.0
2024-10-15 04:00:00,165.785,167.68,164.625,165.46,20247195.0
2024-10-16 04:00:00,164.53,165.8,163.74,165.16,16406030.0
2024-10-17 04:00:00,165.73,166.37,162.76,162.93,21453395.0
2024-10-18 04:00:00,163.19,164.71,163.08,163.42,19757661.0
2024-10-21 04:00:00,162.95,164.5,162.62,164.07,20946455.0
2024-10-22 04:00:00,162.98,165.77,162.98,165.14,16568121.0
2024-10-23 04:00:00,164.76,165.82,161.925,162.78,18280518.0
2024-10-24 04:00:00,162.83,163.33,161.01,162.72,22412527.0
2024-10-25 04:00:00,163.67,165.59,163.42,165.27,19828884.0
2024-10-28 04:00:00,168.75,168.75,163.95,166.72,32138641.0
2024-10-29 04:00:00,167.73,170.38,167.0896,169.68,42169025.0
2024-10-30 04:00:00,180.68,182.02,174.0599,174.46,68890787.0
2024-10-31 04:00:00,173.13,176.82,171.0,171.11,44768981.0
2024-11-01 04:00:00,170.07,172.32,168.88,171.29,31796477.0
2024-11-04 05:00:00,169.93,170.73,168.011,169.24,21492744.0
2024-11-05 05:00:00,169.43,170.53,168.84,169.74,18242050.0
2024-11-06 05:00:00,173.8,176.94,173.5,176.51,33695538.0
2024-11-07 05:00:00,177.41,181.08,177.19,180.75,25352939.0
2024-11-08 05:00:00,180.645,180.9,178.08,178.35,22006182.0
2024-11-11 05:00:00,178.58,180.545,178.47,180.35,17450354.0
