Date,Open,High,Low,Close,Volume,Sentiment_Score,Sentiment_Magnitude,Sentiment_Volume,Sentiment_Trend,Sentiment_Volatility
2026-02-12 06:41:00,153.32641,153.32641,153.17488,153.2268,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 06:42:00,153.22865,153.26664,153.22745,153.26142,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 06:43:00,153.25903,153.26237,153.25786,153.25838,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 06:44:00,153.25571,153.28322,153.25571,153.28322,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 06:45:00,153.29028,153.38267,153.28273,153.34073,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 06:46:00,153.33251,153.3719,153.33251,153.3719,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 06:47:00,153.36845,153.37077,153.35575,153.35575,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 06:48:00,153.35386,153.35918,153.33831,153.34458,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 06:49:00,153.34793,153.37042,153.34369,153.36163,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 06:50:00,153.36218,153.36445,153.309,153.32993,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 06:51:00,153.32825,153.32993,153.30801,153.30801,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 06:52:00,153.30781,153.30976,153.2411,153.25549,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 06:53:00,153.25546,153.26071,153.25546,153.26071,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 06:54:00,153.2596,153.27159,153.2596,153.26928,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 06:55:00,153.26562,153.28719,153.26562,153.28719,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 06:56:00,153.28423,153.28642,153.27369,153.27369,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 06:57:00,153.27383,153.27704,153.24146,153.25589,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 06:58:00,153.26342,153.32768,153.25334,153.29386,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 06:59:00,153.28796,153.30309,153.28796,153.30309,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 07:00:00,153.30743,153.34285,153.3025,153.32858,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 07:01:00,153.32923,153.331,153.26805,153.28911,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 07:02:00,153.28802,153.28957,153.26402,153.26402,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 07:03:00,153.26177,153.26523,153.2283,153.22973,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 07:04:00,153.23003,153.23149,153.2106,153.21602,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 07:05:00,153.21529,153.22185,153.21529,153.22095,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 07:06:00,153.21983,153.22389,153.21157,153.21497,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 07:07:00,153.2138,153.21398,153.21112,153.21112,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 07:08:00,153.21312,153.21456,153.15628,153.18242,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 07:09:00,153.18249,153.18249,153.18133,153.18215,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 07:10:00,153.17793,153.18529,153.17793,153.1821,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 07:11:00,153.18047,153.18167,153.16646,153.16646,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 07:12:00,153.16658,153.16867,153.11022,153.12772,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 07:13:00,153.12737,153.12843,153.10997,153.10997,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 07:14:00,153.10754,153.11088,153.09787,153.09787,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 07:15:00,153.09492,153.12425,153.09492,153.12425,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 07:16:00,153.11952,153.12388,153.09658,153.09658,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 07:17:00,153.09835,153.09967,153.04987,153.07099,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 07:18:00,153.06853,153.06993,153.05975,153.05975,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 07:19:00,153.0541,153.06839,153.0541,153.06839,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 07:20:00,153.06843,153.06843,153.06738,153.06738,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 07:21:00,153.06057,153.0848,153.06057,153.0848,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 07:22:00,153.0858,153.08869,153.08471,153.08869,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 07:23:00,153.08556,153.09041,153.08556,153.08995,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 07:24:00,153.08992,153.10087,153.08992,153.10087,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 07:25:00,153.09716,153.10124,153.07108,153.07108,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 07:26:00,153.0759,153.0759,152.98204,153.01604,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 07:27:00,153.01265,153.0154,152.99874,152.99874,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 07:28:00,152.99057,153.02605,152.99057,153.02605,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 07:29:00,153.03113,153.07339,153.02446,153.05224,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 07:30:00,153.05778,153.05778,152.95446,153.00201,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 07:31:00,153.00147,153.00147,152.99657,152.99657,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 07:32:00,152.99478,152.99922,152.9724,152.98033,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 07:33:00,152.97907,152.98051,152.95918,152.95918,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 07:34:00,152.95684,152.96063,152.94298,152.94491,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 07:35:00,152.9457,152.94638,152.9045,152.91132,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 07:36:00,152.90848,152.91151,152.89479,152.89479,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 07:37:00,152.88877,152.92601,152.88877,152.92601,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 07:38:00,152.93491,153.02589,152.92507,152.97868,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 07:39:00,152.97407,152.98432,152.97407,152.98432,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 07:40:00,152.99349,153.07291,152.98231,153.03104,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 07:41:00,153.02429,153.04617,153.02429,153.04617,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 07:42:00,153.04691,153.04768,153.04584,153.04768,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 07:43:00,153.04409,153.05095,153.04409,153.05095,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 07:44:00,153.05098,153.05189,153.03608,153.03644,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-12 07:45:00,153.03494,153.0483,153.03494,153.04644,1.0,0.0,0.0,0.0,0.0,0.0
