Date,Open,High,Low,Close,Volume,Sentiment_Score,Sentiment_Magnitude,Sentiment_Volume,Sentiment_Trend,Sentiment_Volatility
2026-02-11 22:53:00,1957.15,1957.15,1948.14,1950.2,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-11 22:54:00,1950.91,1950.91,1950.57,1950.57,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-11 22:55:00,1950.27,1951.91,1950.27,1951.91,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-11 22:56:00,1952.41,1952.61,1952.03,1952.03,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-11 22:57:00,1952.59,1952.59,1951.86,1951.86,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-11 22:58:00,1952.01,1953.29,1952.01,1953.29,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-11 22:59:00,1953.39,1953.89,1953.38,1953.47,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-11 23:00:00,1951.52,1952.06,1948.46,1949.75,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-11 23:01:00,1949.35,1949.39,1947.51,1949.39,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-11 23:02:00,1949.8,1953.22,1949.8,1953.22,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-11 23:03:00,1952.95,1953.37,1952.95,1953.37,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-11 23:04:00,1953.02,1953.02,1952.95,1952.95,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-11 23:05:00,1953.96,1954.65,1952.99,1952.99,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-11 23:06:00,1955.23,1957.01,1955.23,1957.01,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-11 23:07:00,1955.48,1955.48,1952.43,1952.43,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-11 23:08:00,1951.91,1953.76,1951.91,1953.76,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-11 23:09:00,1952.28,1955.2,1952.28,1953.69,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-11 23:10:00,1953.65,1953.65,1949.5,1950.18,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-11 23:11:00,1949.81,1950.18,1947.05,1947.05,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-11 23:12:00,1946.62,1946.62,1944.36,1944.36,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-11 23:13:00,1945.02,1946.92,1945.02,1946.92,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-11 23:14:00,1947.06,1947.86,1946.36,1947.86,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-11 23:15:00,1947.53,1947.53,1947.12,1947.53,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-11 23:16:00,1948.61,1949.33,1947.34,1947.94,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-11 23:17:00,1948.75,1949.39,1946.34,1946.74,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-11 23:18:00,1946.95,1949.39,1946.95,1948.33,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-11 23:19:00,1948.39,1948.82,1947.1,1947.43,1.0,0.0,0.0,0.0,0.0,0.0
2026-02-11 23:20:00,1947.64,1949.29,1940.24,1940.24,1.0,0.0,0.0,0.0,0.0,0.0
