Date,Open,High,Low,Close,Volume,Sentiment_Score,Sentiment_Magnitude,Sentiment_Volume,Sentiment_Volatility,Sentiment_Trend
2026-02-11 22:16:00,67649.99,67718.94,67649.99,67661.99,1.0,-0.14666666666666667,0.14666666666666667,1,0.0,0.0
2026-02-11 22:17:00,67663.01,67669.16,67638.21,67644.01,1.0,-0.14666666666666667,0.14666666666666667,1,0.0,0.0
2026-02-11 22:18:00,67651.26,67661.38,67611.89,67644.28,1.0,-0.14666666666666667,0.14666666666666667,1,0.0,0.0
2026-02-11 22:19:00,67644.26,67670.02,67571.88,67589.97,1.0,-0.14666666666666667,0.14666666666666667,1,0.0,0.0
2026-02-11 22:20:00,67587.99,67587.99,67482.62,67542.26,1.0,-0.14666666666666667,0.14666666666666667,1,0.0,0.0
2026-02-11 22:21:00,67542.26,67569.78,67484.16,67545.46,1.0,-0.14666666666666667,0.14666666666666667,1,0.0,0.0
2026-02-11 22:22:00,67544.01,67590.39,67514.55,67535.91,1.0,-0.14666666666666667,0.14666666666666667,1,0.0,0.0
2026-02-11 22:23:00,67537.03,67550.01,67500.0,67518.29,1.0,-0.14666666666666667,0.14666666666666667,1,0.0,0.0
2026-02-11 22:24:00,67518.29,67608.29,67500.0,67512.91,1.0,-0.14666666666666667,0.14666666666666667,1,0.0,0.0
2026-02-11 22:25:00,67511.65,67525.96,67410.39,67460.87,1.0,-0.14666666666666667,0.14666666666666667,1,0.0,0.0
2026-02-11 22:26:00,67460.86,67470.65,67400.0,67420.01,1.0,-0.14666666666666667,0.14666666666666667,1,0.0,0.0
2026-02-11 22:27:00,67423.99,67424.75,67306.0,67342.01,1.0,-0.14666666666666667,0.14666666666666667,1,0.0,0.0
2026-02-11 22:28:00,67342.01,67443.99,67342.01,67427.86,1.0,-0.14666666666666667,0.14666666666666667,1,0.0,0.0
2026-02-11 22:29:00,67427.84,67522.37,67426.01,67504.48,1.0,-0.14666666666666667,0.14666666666666667,1,0.0,0.0
2026-02-11 22:30:00,67504.48,67529.53,67421.36,67521.4,1.0,-0.14666666666666667,0.14666666666666667,1,0.0,0.0
2026-02-11 22:31:00,67521.4,67521.4,67498.81,67521.4,1.0,-0.14666666666666667,0.14666666666666667,1,0.0,0.0
2026-02-11 22:32:00,67521.4,67542.0,67457.46,67479.41,1.0,-0.14666666666666667,0.14666666666666667,1,0.0,0.0
2026-02-11 22:33:00,67476.84,67505.0,67422.14,67425.73,1.0,-0.14666666666666667,0.14666666666666667,1,0.0,0.0
2026-02-11 22:34:00,67425.73,67498.01,67425.72,67487.99,1.0,-0.14666666666666667,0.14666666666666667,1,0.0,0.0
2026-02-11 22:35:00,67487.99,67487.99,67407.83,67421.95,1.0,-0.14666666666666667,0.14666666666666667,1,0.0,0.0
